InvestigationType,EventDate,Location,Country,Latitude,Longitude,Lethality,InjurySeverity,AircraftDamage,RegistrationNumber,Make,Model,NumberofEngines,EngineType,PurposeofFlight,AirCarrier,TotalFatalInjuries,WeatherCondition,BroadPhaseofFlight
Accident,4/14/99,"KOTZEBUE, AK",United States,66.8983333,-162.5966666,1,Fatal,Destroyed,N73188,Cessna,207A,1,Reciprocating,Unknown,(DBA: CAMAI AIR),1,IMC,CRUISE
Accident,1/23/84,"NEW ORLEANS, LA",United States,29.9510658,-90.0715323,1,Fatal,Substantial,N2115D,PIPER,PA-32RT-300,1,Reciprocating,Unknown,(DBA: CAPITOL AVIATION SERVICES INC.),1,VMC,DESCENT
Accident,6/26/87,"BOSTON, MA",United States,42.3600825,-71.0588801,1,Fatal,Destroyed,N33670,PIPER,PA-34-200T,2,Reciprocating,Unknown,"(DBA: CASH AIR, INC)",1,IMC,APPROACH
Incident,1/4/91,"LUTZ, FL",United States,28.1511243,-82.4614831,0,Incident,Minor,N823AR,CESSNA,210M,1,Reciprocating,Unknown,(DBA: CHEROKEE EXPRESS AIR CARGO),0,VMC,TAKEOFF
Incident,8/25/90,"COLLEGE STATION, TX",United States,30.627977,-96.3344068,0,Incident,,N33701,Eiriavion Oy,EMB-120,2,Turbo Prop,Unknown,(DBA: CONTINENTAL EXPRESS),0,VMC,TAKEOFF
Accident,4/8/88,"SODA SPRINGS, ID",United States,42.6543652,-111.6046687,1,Fatal,Destroyed,N291NC,AERO COMMANDER,680FL,2,Reciprocating,Unknown,(DBA: CORPORATE AIR),2,UNK,DESCENT
Incident,2/5/86,"NEW YORK, NY",United States,40.7127753,-74.0059728,0,Incident,Minor,N812EA,BOEING,727-225,3,Turbo Jet,Unknown,(DBA: EALA),0,VMC,STANDING
Accident,5/30/98,"JUNEAU, AK",United States,58.3019444,-134.4197221,1,Fatal,Substantial,N187EH,Aerospatiale,AS-350-B2,1,Turbo Shaft,Unknown,(DBA: ERA HELICOPTERS),2,VMC,CRUISE
Accident,10/22/85,"JUNEAU, AK",United States,58.3019444,-134.4197221,1,Fatal,Destroyed,N456JA,G&C Helicopters,24D,2,Turbo Jet,Unknown,(DBA: ERA JET ALASKA),4,UNK,APPROACH
Incident,5/19/96,"LOS ANGELES, CA",United States,34.0522342,-118.2436849,0,Incident,Minor,N470EV,BOEING,747-273C,4,Turbo Fan,Unknown,"(DBA: EVERGREEN INT'L AIRLINES, INC.)",0,VMC,CLIMB
Incident,3/18/91,"SHAGELUK, AK",United States,62.6822222,-159.5619444,0,Incident,Minor,N400WA,BEECH,C-45H,2,Turbo Prop,Unknown,(DBA: F.S. AIR SERVICE),0,VMC,LANDING
Incident,1/21/97,"OKLAHOMA CITY, OK",United States,35.4675602,-97.5164276,0,Incident,,N198FE,BOEING,727-100,3,Turbo Fan,Unknown,(DBA: FEDERAL EXPRESS),0,VMC,CLIMB
Incident,6/9/97,"CHICAGO, IL",United States,41.8781136,-87.6297982,0,Incident,,N302FE,DOUGLAS,DC-10-30F,3,Turbo Fan,Unknown,(DBA: FEDERAL EXPRESS),0,VMC,TAXI
Incident,11/25/00,"NEWARK, NJ",United States,40.735657,-74.1723667,0,Incident,,N582FE,McDonnell Douglas,MD-11,3,Unknown,Unknown,(DBA: FEDEX EXPRESS),0,VMC,CLIMB
Accident,3/2/93,"OAKLEY, UT",United States,40.7146722,-111.300744,1,Fatal,Destroyed,N3103P,CESSNA,402B,2,Reciprocating,Unknown,(DBA: FLIGHT LINE INC),2,UNK,CRUISE
Incident,3/28/96,"JACKSONVILLE, FL",United States,30.3321838,-81.655651,0,Incident,Minor,N29YV,BEECH,1900D,2,Turbo Prop,Unknown,(DBA: FLORIDA GULF AIRLINES),0,VMC,TAKEOFF
Accident,9/5/96,"CORSICANA, TX",United States,32.0954304,-96.4688727,1,Fatal,Destroyed,N873LB,BEECH,D55,2,Reciprocating,Unknown,(DBA: GTA AIR),1,VMC,CRUISE
Accident,3/14/93,"GRANTS, NM",United States,35.14726,-107.8514466,1,Fatal,Destroyed,N4320W,BEECH,58,2,Reciprocating,Unknown,(DBA: GUINN FLYING SERVICE),4,VMC,CRUISE
Accident,7/20/88,"GOLDEN MEADOW, LA",United States,29.3791112,-90.2600786,1,Fatal,Destroyed,N33VX,DORNIER,DC-6A,4,Reciprocating,Unknown,(DBA: HISPANOLA AIRWAYS),3,VMC,DESCENT
Accident,6/30/95,"KODIAK, AK",United States,57.79,-152.4072221,1,Fatal,Destroyed,N8385G,PIPER,PA-32-301,1,Reciprocating,Unknown,(DBA: ISLAND AIR SERVICE),4,IMC,CRUISE
Incident,1/30/89,"LANDER, WY",United States,42.833014,-108.7306725,0,Incident,Minor,N87CH,BEECH,E90,2,Turbo Prop,Unknown,(DBA: LIFE FLIGHT),0,VMC,TAKEOFF
Incident,3/16/88,"BILLINGS, MT",United States,45.7832856,-108.5006904,0,Incident,Minor,N2180S,CESSNA,210,1,Reciprocating,Unknown,"(DBA: LYNCH FLYING SERVICE, INC.)",0,VMC,CRUISE
Accident,11/19/92,"TEHACHAPI, CA",United States,35.1321877,-118.4489739,1,Fatal,Destroyed,N737WZ,CESSNA,172N,1,Reciprocating,Unknown,(DBA: MCCARTHY AVIATION),2,UNK,CRUISE
Accident,9/5/99,"WESTERLY, RI",United States,41.3775987,-71.8272871,1,Fatal,Substantial,N4830S,Piper,PA-32-260,1,Reciprocating,Unknown,(DBA: NEW ENGLAND AIRLINES),3,VMC,TAKEOFF
Accident,6/25/98,"MT. WAIALEALE, HI",United States,22.0706522,-159.4961272,1,Fatal,Destroyed,N594BK,Ercoupe (Eng & Research Corp.),AS-350-BA,1,Turbo Shaft,Unknown,(DBA: OHANA HELICOPTER TOURS),6,IMC,CRUISE
Accident,6/27/97,"NOME, AK",United States,64.5011111,-165.4063889,1,Fatal,Destroyed,N207SP,Cessna,207A,1,Reciprocating,Unknown,(DBA: OLSON AIR SERVICE),2,IMC,MANEUVERING
Incident,10/22/84,"ORLANDO, FL",United States,28.5383355,-81.3792365,0,Incident,Minor,N29144,Maule,BO-105,2,Turbo Shaft,Unknown,(DBA: OMNI FLIGHT AIRWAYS [EMS]),0,VMC,APPROACH
Accident,7/11/94,"PORTAGE CREEK, AK",United States,58.9061111,-157.7175001,1,Fatal,Substantial,N8297X,PIPER,PA-32-301,1,Reciprocating,Unknown,(DBA: PENAIR),3,VMC,TAKEOFF
Accident,2/17/90,"COLD BAY, AK",United States,55.204498,-162.7183867,1,Fatal,Destroyed,N27328,PIPER,PA-31-350,2,Reciprocating,Unknown,(DBA: PENAIR),1,IMC,CRUISE
Accident,6/19/84,"ISLAND BEACH, NJ",United States,39.7974811,-74.0975678,1,Fatal,Destroyed,N5784M,AEROSPATIALE,AS-350D,1,Turbo Shaft,Unknown,"(DBA: RACO HELCIOPTERS, CORP)",3,VMC,MANEUVERING
Incident,9/15/88,"GLADE PARK, CO",United States,38.9937222,-108.7406802,0,Incident,,N71001,CESSNA,206,1,Reciprocating,Unknown,(DBA: RED TAIL AVIATION),0,VMC,CRUISE
Accident,6/21/87,"BRIDGEPORT, CA",United States,38.2557045,-119.2313932,1,Fatal,Destroyed,N662DM,Rockwell,690,2,Turbo Prop,Unknown,(DBA: RENO FLYING SERVICE),2,VMC,APPROACH
Accident,2/7/85,"KOYUK, AK",United States,64.9319444,-161.1569443,1,Fatal,Minor,N7329U,CESSNA,207A,1,Reciprocating,Unknown,(DBA: RYAN AIR SERVICE INC),1,VMC,LANDING
Accident,8/7/89,"NOME, AK",United States,64.5011111,-165.4063889,1,Fatal,Destroyed,N12333,CESSNA,402,2,Reciprocating,Unknown,(DBA: RYAN AIR SERVICE),1,IMC,MANEUVERING
Accident,6/15/90,"CHALLIS, ID",United States,44.5046445,-114.2317308,1,Fatal,Destroyed,N7582N,CESSNA,TU206G,1,Reciprocating,Unknown,(DBA: SALMON AIR TAXI),2,VMC,MANEUVERING
Incident,10/4/86,"EVERETT, WA",United States,47.9789848,-122.2020795,0,Incident,Minor,N2651Y,CESSNA,402C,2,Reciprocating,Unknown,(DBA: SAN JUAN AIRLINES),0,IMC,CRUISE
Incident,11/17/87,"PORT ANGELES, WA",United States,48.118146,-123.4307413,0,Incident,Minor,N806BA,BEECH,99-A,2,Turbo Prop,Unknown,(DBA: SAN JUAN AIRLINES),0,VMC,CLIMB
Incident,7/5/98,"HOMER, AK",United States,59.6425,-151.5483333,0,Incident,Minor,N3347L,Cessna,185,1,Reciprocating,Unknown,"(DBA: SMOKEY BAY AIR, INC.)",0,VMC,TAXI
Accident,11/6/86,"HENDERSON, NV",United States,36.0395247,-114.9817213,1,Fatal,Destroyed,N3219Q,CESSNA,401,2,Reciprocating,Unknown,(DBA: SOUTH AERO SERVICE),2,VMC,CLIMB
Accident,10/31/99,"CHALLIS, ID",United States,44.5046445,-114.2317308,1,Fatal,Substantial,N902CT,Cessna,U206F,1,Reciprocating,Unknown,(DBA: STANLEY AIR TAXI),4,VMC,MANEUVERING
Accident,9/23/96,"ANCHORAGE, AK",United States,61.2180556,-149.9002778,1,Fatal,Destroyed,N7312C,Cessna,206G,1,Reciprocating,Unknown,(DBA: STEARNS AIR ALASKA),3,VMC,TAKEOFF
Accident,1/29/96,"KAMUELA, HI",United States,20.0230556,-155.6716667,1,Fatal,Destroyed,N999CR,CESSNA,402B,2,Reciprocating,Unknown,(DBA: TRANS AIR),1,VMC,TAKEOFF
Accident,11/16/85,"QUINHAGAK, AK",United States,59.7488889,-161.9158333,1,Fatal,Destroyed,N74DJ,PIPER,PA-32-300,1,Reciprocating,Unknown,(DBA: TRI CITY AIR SERVICE),4,IMC,DESCENT
Incident,5/8/00,"WINDSOR LOCKS, CT",United States,41.9242917,-72.6454469,0,Incident,Minor,N9044V,Beech,BE-58,2,Reciprocating,Unknown,(DBA: U.S. CHECK),0,VMC,CLIMB
Incident,4/11/93,"OSHKOSH, WI",United States,44.0247062,-88.5426136,0,Incident,,N855AW,Brantly Helicopter,BAE-ATP,2,Turbo Prop,Unknown,(DBA: UNITED EXPRESS),0,IMC,CRUISE
Incident,1/12/95,"WILLISTON, ND",United States,48.1469683,-103.6179745,0,Incident,Minor,N118UX,BEECH,1900D,2,Turbo Prop,Unknown,(DBA: UNITED EXPRESS),0,VMC,DESCENT
Incident,5/18/98,"MINNEAPOLIS, MN",United States,44.977753,-93.2650108,0,Incident,,N675UP,BOEING,747-123,4,Turbo Fan,Unknown,(DBA: UPS),0,UNK,CRUISE
Accident,4/17/84,"BENTLEY CREEK, PA",United States,41.946463,-76.7132854,1,Fatal,Destroyed,N806Q,BEECH,58,2,Reciprocating,Unknown,"(DBA: VAN AIR, INC.)",1,VMC,CRUISE
Accident,4/1/87,"ANCHORAGE, AK",United States,61.2180556,-149.9002778,1,Fatal,Substantial,N967JW,CESSNA,402,2,Reciprocating,Unknown,(DBA: WILBUR'S INC.),2,VMC,APPROACH
Accident,8/16/85,"SOUTH LYON, MI",United States,42.46059,-83.6516063,1,Fatal,Destroyed,N404EX,CESSNA,404,2,Reciprocating,Unknown,"(DBA: WOLVERINE AIR CHARTER,INC.)",1,IMC,CRUISE
Incident,6/6/86,"MANOKOTAK, AK",United States,58.9813889,-159.0583331,0,Incident,Minor,N1737U,CESSNA,207,1,Reciprocating,Unknown,"(DBA: YUTE AIR ALASKA, INC)",0,VMC,CRUISE
Accident,8/26/95,"DEADHORSE, AK",United States,70.2001996,-148.4597191,1,Fatal,Substantial,N1590R,PIPER,PA-18-150,1,Reciprocating,Unknown,"40 MILE AIR, LTD",2,VMC,MANEUVERING
Accident,1/5/83,"PORTLAND, OR",United States,45.5051064,-122.6750261,1,Fatal,Destroyed,N5370Y,Cessna,T210N,1,Reciprocating,Unknown,"AAR WESTERN SKYWAYS, INC.",1,IMC,DESCENT
Accident,1/21/83,"BURNS, OR",United States,43.5862606,-119.0541032,1,Fatal,Destroyed,N5162W,Cessna,P210N,1,Reciprocating,Unknown,"AAR WESTERN SKYWAYS, INC.",1,VMC,UNKNOWN
Accident,6/17/08,"Pahala, HI",United States,19.202572,-155.4774719,1,Fatal,Substantial,N13713,CESSNA,172M,1,Reciprocating,,"Above It All, Inc. (DBA: Island Hoppers)",3,VMC,
Incident,2/19/90,"TALLAHASSEE, FL",United States,30.4382559,-84.2807329,0,Incident,Minor,N7574Y,PIPER,PA-30,2,Reciprocating,Unknown,ACADEMY AIRLINES,0,IMC,APPROACH
Accident,4/1/88,"KANSAS CITY, MO",United States,39.0997265,-94.5785667,1,Fatal,Destroyed,N989B,BEECH,H18,2,Reciprocating,Unknown,"ACE AIR CARGO, INC",1,IMC,APPROACH
Accident,4/27/94,"STRATFORD, CT",United States,41.1845415,-73.1331651,1,Fatal,Destroyed,N990RA,PIPER,PA=31-350,2,Reciprocating,Unknown,ACTION AIR CHARTERS (DBA: ACTION AIR CHARTERS),8,VMC,LANDING
Accident,2/18/87,"QUINCY, IL",United States,39.9356016,-91.4098726,1,Fatal,Destroyed,N149R,BEECH,E18S,2,Turbo Prop,Unknown,ACTIVE AERO CHARTER,2,VMC,TAKEOFF
Accident,4/21/86,"LINCOLN, RI",United States,41.9110123,-71.4418101,1,Fatal,Destroyed,N128K,CESSNA,310,2,Reciprocating,Unknown,"ACTIVE AERO CHARTER, INC.",1,IMC,MANEUVERING
Accident,6/8/93,"YPSILANTI, MI",United States,42.2411499,-83.6129939,1,Fatal,Destroyed,N51FG,BEECH,E18S,2,Turbo Prop,Unknown,"ACTIVE AERO CHARTER, INC. (DBA: ACTIVE AERO CHARTER, INC.)",1,IMC,TAKEOFF
Accident,8/24/18,"Philadelphia, PA",United States,39.9525839,-75.1652215,,Unavailable,,EI-LBT,BOEING,757,,,,Aer Lingus,,,
Incident,3/5/12,"Anchorage, AK",United States,61.2180556,-149.9002778,0,Incident,Minor,N544LM,BOMBARDIER LEARJET CORP.,35A,2,Turbo Fan,,AERO AIR LLC,,VMC,LANDING
Incident,6/14/12,"Ozark, MO",United States,37.0208865,-93.2060163,0,Incident,Minor,N305LX,CESSNA,560,2,Turbo Fan,Executive/Corporate,"Aero Charter, Inc",,VMC,LANDING
Incident,4/20/85,"WEST PALM BEACH, FL",United States,26.7153424,-80.0533746,0,Incident,Minor,N6879Y,CESSNA,402C,2,Reciprocating,Unknown,"AERO COACH AVIATION INT'L,INC.",0,VMC,LANDING
Accident,11/25/83,"ALLENTOWN, PA",United States,40.6022939,-75.4714098,1,Fatal,Destroyed,N105PE,BEECH,H18,2,Reciprocating,Unknown,AERO TAXI,2,IMC,CRUISE
Incident,1/12/82,"CLARKSBURG, WV",United States,39.2806451,-80.3445341,0,Incident,Minor,N615KC,EMBRAER,EMB-110P1,2,Turbo Prop,Unknown,AEROMECH INCORPORATED,0,VMC,TAXI
Accident,2/9/90,"RAPID CITY, SD",United States,44.0805434,-103.2310149,1,Fatal,Substantial,N64MD,"Miller, Terry W.",MU-2B-60,2,Turbo Prop,Unknown,AEROMEDICAL SERVICES INTL (DBA: ASSOCIATED JET CHARTER),1,VMC,TAKEOFF
Incident,3/10/97,"DFW AIRPORT, TX",United States,32.8998091,-97.0403352,0,Incident,Minor,N909PG,Boeing,727-2K5,3,Turbo Fan,Unknown,AEROMEXPRESS,0,VMC,TAKEOFF
Accident,6/16/16,"State College, PA",United States,40.7933949,-77.8600012,1,Fatal,Destroyed,N3591P,PIPER,PA31,2,Reciprocating,,AERONATIONAL INC,2,IMC,APPROACH
Accident,12/12/16,"Moab, UT",United States,38.5733155,-109.5498395,1,Fatal,Destroyed,N772RT,QUEST AIRCRAFT COMPANY LLC,KODIAK 100,1,Turbo Prop,,Aerowest Aviation (DBA: Redtail Air),1,VMC,TAKEOFF
Accident,7/2/90,"ASHFORD, WA",United States,46.7584413,-122.0309408,1,Fatal,Destroyed,N59291,CESSNA,T210L,1,Reciprocating,Unknown,AEROWEST AVIATION INC.,5,IMC,CLIMB
Accident,11/14/96,"VAN NUYS, CA",United States,34.1898566,-118.451357,1,Fatal,Destroyed,N8046M,Cessna,310I,2,Reciprocating,Unknown,AEX AIR,1,IMC,GO-AROUND
Incident,1/20/84,"REDDING, CA",United States,40.5865396,-122.3916754,0,Incident,Minor,N35479,PIPER,PA-31-350,2,Reciprocating,Unknown,AFS AIRLINES,0,VMC,TAXI
Incident,5/9/19,"Savannah, GA",United States,32.0808989,-81.091203,0,Incident,,N744AT,Cessna,550,2,Turbo Jet,,Air Ambulance By Air Trek Inc,,VMC,
Accident,6/3/17,"San Juan, PR",United States,18.4655394,-66.1057355,1,Fatal,Destroyed,N21WW,PIPER,PA23,2,Reciprocating,,AIR AMERICA INC,1,VMC,TAKEOFF
Incident,7/7/17,"San Francisco, CA",United States,37.7749295,-122.4194155,0,Incident,,C-FKCK,Airbus,A320-211,2,Turbo Fan,,Air Canada,,VMC,APPROACH
Accident,9/25/87,"MIAMI, FL",United States,25.7616798,-80.1917902,1,Fatal,Destroyed,N76Q,BEECH,D18S,2,Reciprocating,Unknown,"AIR CARGO AMERICA, INC.",2,VMC,TAKEOFF
Accident,5/5/17,"Charleston, WV",United States,38.3498195,-81.6326234,1,Fatal,Substantial,N334AC,SHORT BROS. & HARLAND,SD3 30,2,Turbo Prop,,Air Cargo Carriers,2,IMC,LANDING
Accident,4/12/95,"GREAT BEND, ND",United States,46.1538473,-96.8020228,1,Fatal,Destroyed,N7057J,BEECH,65-B80,2,Reciprocating,Unknown,"AIR CARGO MASTERS, INC. (DBA: AIR CARGO MASTERS)",1,IMC,CRUISE
Accident,12/10/94,"SYLVAN SPRINGS, AL",United States,33.5156628,-87.0149948,1,Fatal,Destroyed,N6517C,PIPER,PA-32RT-300,1,Reciprocating,Unknown,"AIR CARRIERS, INC.",1,IMC,CRUISE
Incident,4/8/02,"Jackson, AL",United States,31.5090521,-87.8944435,0,Incident,,N8536,Rockwell,500-S,2,Reciprocating,,"Air Carriers, Inc.",,VMC,CRUISE
Accident,11/28/04,"Montrose, CO",United States,38.4783198,-107.8761738,1,Fatal,Destroyed,N873G,CALLAIR,CL-600-2A12,2,Turbo Fan,,Air Castle Corporation (DBA: Hop-A-Jet Incorporated),3,IMC,TAKEOFF
Accident,10/6/13,"Culebra, PR",United States,18.25,-65.383334,1,Fatal,Substantial,N909GD,BRITTEN-NORMAN,BN-2A-8,2,Reciprocating,,AIR CHARTER INC DBA (DBA: Air Flamenco),1,VMC,CRUISE
Accident,10/6/13,"Culebra, PR",United States,18.25,-65.383334,1,Fatal,Substantial,N909GD,BRITTEN-NORMAN,BN-2A-8,2,Reciprocating,,AIR CHARTER INC DBA (DBA: Air Flamenco),1,VMC,CRUISE
Accident,6/4/84,"WINDSOR LOCKS, CT",United States,41.9242917,-72.6454469,1,Fatal,Destroyed,N101PP,LAMB,23A,2,Turbo Jet,Unknown,"AIR CONTINENTAL, INC.",3,VMC,GO-AROUND
Incident,9/9/86,"BINGHAMTON, NY",United States,42.0986867,-75.9179738,0,Incident,Minor,N90349,PIPER,PA-60-600,2,Reciprocating,Unknown,"AIR CONTINENTAL,INC.",0,VMC,CRUISE
Accident,4/20/90,"DALLAS, TX",United States,32.7766642,-96.7969879,1,Fatal,Destroyed,N770X,BEECH,58,2,Reciprocating,Unknown,AIR EXCHANGE INC,1,VMC,TAKEOFF
Accident,10/16/85,"EL PASO, TX",United States,31.7618778,-106.4850217,1,Fatal,Destroyed,N23CD,Mikoyan MiG,MU-2B-2D,2,Turbo Prop,Unknown,AIR EXCHANGE INC.,1,IMC,CRUISE
Incident,4/18/88,"HENDERSON, TX",United States,32.1532156,-94.7993802,0,Incident,,N59981,PIPER,PA-31-350,2,Reciprocating,Unknown,"AIR EXCHANGE, INC.",0,VMC,MANEUVERING
Accident,8/2/12,"Hoonah, AK",United States,58.11,-135.4436111,1,Fatal,Destroyed,N8200M,PIPER,PA-32-301,1,Reciprocating,,AIR EXCURSIONS LLC (DBA: Air Excursions),1,VMC,DESCENT
Accident,5/13/91,"GRAND CANYON, AZ",United States,36.0544445,-112.1401108,1,Fatal,Destroyed,N6280H,CESSNA,207A,1,Reciprocating,Unknown,AIR GRAND CANYON,7,VMC,CRUISE
Incident,10/28/82,"CLARKSVILLE, TN",United States,36.5297706,-87.3594528,0,Incident,Minor,N4099A,BEECH,B99,2,Turbo Prop,Unknown,AIR KENTUCKY AIRLINE,0,VMC,LANDING
Accident,6/21/96,"SABINE PASS, TX",United States,29.7332834,-93.8948078,1,Fatal,Destroyed,N2906T,Maule,BO-105,2,Turbo Shaft,Unknown,AIR LOGISTICS INC. (DBA: AIR LOGISTICS),4,VMC,CRUISE
Incident,9/13/82,"DENVER, CO",United States,39.7392358,-104.990251,0,Incident,Minor,N5471M,FAIRCHILD/SWEARINGEN,SA226TC,2,Turbo Prop,Unknown,AIR MIDWEST,0,VMC,OTHER
Incident,10/29/85,"LINCOLN, NE",United States,40.813616,-96.7025955,0,Incident,,N342AM,RYAN,SF340A,2,Turbo Prop,Unknown,AIR MIDWEST,0,VMC,LANDING
Incident,4/4/92,"LAMAR, CO",United States,38.0872307,-102.6207496,0,Incident,Minor,N137YV,BEECH,1900C,2,Turbo Prop,Unknown,AIR MIDWEST INC.,0,VMC,TAXI
Accident,7/12/93,"LAS VEGAS, NV",United States,36.1699412,-115.1398296,1,Fatal,Destroyed,N818AN,CESSNA,402C,2,Reciprocating,Unknown,AIR NEVADA AIRLINES,3,VMC,TAKEOFF
Incident,12/20/87,"TAMPA, FL",United States,27.950575,-82.4571776,0,Incident,Minor,N6724D,BEECH,99,2,Turbo Prop,Unknown,AIR NEW ORLEANS,0,VMC,APPROACH
Incident,3/3/88,"BIRMINGHAM, AL",United States,33.5185892,-86.8103567,0,Incident,Minor,N422NE,Globe,NOMAD N22B,2,Turbo Prop,Unknown,AIR NEW ORLEANS (DBA: CONTINENTAL EXPRESS),0,IMC,CRUISE
Incident,3/2/91,"JACKSONVILLE, FL",United States,30.3321838,-81.655651,0,Incident,Minor,CGRNU,Brantly Helicopter,BAE-146-200,4,Turbo Fan,Unknown,AIR NOVA,0,IMC,CRUISE
Accident,6/23/95,"ORLANDO, FL",United States,28.5383355,-81.3792365,1,Fatal,Destroyed,N4403Q,BEECH,58,2,Reciprocating,Unknown,"AIR ORLANDO CHARTER, INC.",2,IMC,TAKEOFF
Incident,5/11/84,"UNALASKA, AK",United States,53.8844382,-166.5332434,0,Incident,Minor,N146AP,Boyle Black Eagle,BAE-146,4,Turbo Fan,Unknown,AIR PAC,0,VMC,LANDING
Accident,8/8/86,"DUXSBURY, VT",United States,44.3270012,-72.7526175,1,Fatal,Destroyed,N6341U,AERO COMMANDER,680FL,2,Reciprocating,Unknown,AIR PARCEL EXPRESS,1,VMC,CRUISE
Accident,3/18/82,"SUNFLOWER, AZ",United States,33.8642086,-111.4676349,1,Fatal,Destroyed,N499W,CESSNA,401,2,Reciprocating,Unknown,AIR SECURITY TRANSPORT CORP.,5,IMC,CLIMB
Accident,2/5/82,"LAMBSBURG, VA",United States,36.5854078,-80.7611817,1,Fatal,Destroyed,N75225,PIPER,PA-32R-300,1,Reciprocating,Unknown,AIR SECURITY TRANSPORT CORPORA,4,IMC,CRUISE
Accident,1/23/92,"CLEWISTON, FL",United States,26.7542312,-80.9336753,1,Fatal,Destroyed,N2714A,CESSNA,402-C,2,Reciprocating,Unknown,AIR SUNSHINE INC.,2,VMC,DESCENT
Accident,1/9/07,"Kenai, AK",United States,60.5544444,-151.2583333,1,Fatal,Substantial,N9941M,Cessna,207A,1,Reciprocating,,Air Supply Alaska Inc.,1,VMC,CRUISE
Accident,8/13/04,"Florence, KY",United States,38.9989499,-84.6266111,1,Fatal,Destroyed,N586P,Consolidated Aeronautics Inc.,CV-340 (580),2,Turbo Prop,,AIR TAHOMA INC,1,VMC,APPROACH
Accident,1/1/02,"Hollywood, FL",United States,26.0112014,-80.1494901,1,Fatal,Substantial,N3525Y,Piasecki Acft. Corp.,PA-31-350,2,Reciprocating,,Air Taxi Inc.,1,VMC,DESCENT
Accident,12/3/02,"Tajique, NM",United States,34.751724,-106.2877984,1,Fatal,Destroyed,N3855C,Cessna,421C,2,Reciprocating,,Air Transport Inc.,1,VMC,DESCENT
